Year,State,Poverty,Cases,Annual_income,Demograph,COPD
2000,Alabama,14.6,8965.707259953162,34923,4452173,28995.966101694914
2000,Alaska,8.5,8965.707259953162,51433,627963,28995.966101694914
2000,Arizona,12.5,8965.707259953162,40437,5160586,28995.966101694914
2000,Arkansas,15.0,8965.707259953162,31496,2678588,28995.966101694914
2000,California,12.7,36601.0,46836,33987977,28995.966101694914
2000,Colorado,8.9,8965.707259953162,47505,4326921,28995.966101694914
2000,Connecticut,7.3,3959.0,52758,3411777,9514.0
2000,Delaware,8.7,8965.707259953162,47812,786373,28995.966101694914
2000,District of Columbia,16.3,8965.707259953162,40606,572046,28995.966101694914
2000,Florida,11.7,22705.0,38784,16047515,28995.966101694914
2000,Georgia,12.3,8965.707259953162,42057,8227303,28995.966101694914
2000,Hawaii,9.9,8965.707259953162,49005,1213519,28995.966101694914
2000,Idaho,11.2,8965.707259953162,37929,1299430,28995.966101694914
2000,Illinois,10.0,8965.707259953162,46327,12434161,28995.966101694914
2000,Indiana,8.8,8965.707259953162,41511,6091866,28995.966101694914
2000,Iowa,8.3,2491.0,40443,2929067,28995.966101694914
2000,Kansas,8.9,2652.0,41150,2693681,28995.966101694914
2000,Kentucky,13.9,5897.0,35150,4049021,28995.966101694914
2000,Louisiana,17.3,5858.0,32124,4471885,28995.966101694914
2000,Maine,9.9,8965.707259953162,37589,1277072,28995.966101694914
2000,Maryland,7.9,7560.0,52740,5311034,28995.966101694914
2000,Massachusetts,8.4,8039.0,49266,6361104,28995.966101694914
2000,Michigan,9.7,8965.707259953162,45202,9952450,28995.966101694914
2000,Minnesota,6.9,4604.0,49170,4933692,28995.966101694914
2000,Mississippi,17.6,8965.707259953162,32542,2848353,28995.966101694914
2000,Missouri,10.6,6853.0,40411,5607285,26680.0
2000,Montana,13.3,8965.707259953162,33281,903773,28995.966101694914
2000,Nebraska,8.9,8965.707259953162,40429,1713820,28995.966101694914
2000,Nevada,9.4,8965.707259953162,44698,2018741,28995.966101694914
2000,New Hampshire,5.6,872.0,49830,1239882,6471.0
2000,New Jersey,7.8,12721.0,52990,8430621,28995.966101694914
2000,New Mexico,17.3,1533.0,34487,1821204,28995.966101694914
2000,New York,13.2,39994.0,41763,19001780,28995.966101694914
2000,North Carolina,11.7,10230.0,38889,8081614,28995.966101694914
2000,North Dakota,10.4,8965.707259953162,35636,642023,28995.966101694914
2000,Ohio,9.8,8965.707259953162,42054,11363543,28995.966101694914
2000,Oklahoma,13.8,8965.707259953162,33417,3454365,28995.966101694914
2000,Oregon,10.6,2254.0,41662,3429708,28995.966101694914
2000,Pennsylvania,9.5,19960.0,41419,12284173,28995.966101694914
2000,Rhode Island,10.2,8965.707259953162,42305,1050268,28995.966101694914
2000,South Carolina,12.8,5982.0,37283,4024223,21324.0
2000,South Dakota,11.4,8965.707259953162,36146,755844,28995.966101694914
2000,Tennessee,12.6,7236.0,35760,5703719,28995.966101694914
2000,Texas,14.6,8965.707259953162,39090,20944499,28995.966101694914
2000,Utah,8.8,1287.0,45934,2244502,3059.0
2000,Vermont,8.8,8965.707259953162,40537,609618,28995.966101694914
2000,Virginia,8.9,8965.707259953162,46789,7105817,28995.966101694914
2000,Washington,9.6,5325.0,44846,5910512,28995.966101694914
2000,West Virginia,15.5,8965.707259953162,30187,1807021,28995.966101694914
2000,Wisconsin,8.1,5698.0,44503,5373999,28995.966101694914
2000,Wyoming,10.4,8965.707259953162,38934,494300,28995.966101694914
2001,Alabama,15.7,8965.707259953162,34761,4467634,28995.966101694914
2001,Alaska,8.7,8965.707259953162,52332,633714,28995.966101694914
2001,Arizona,13.2,8965.707259953162,41403,5273477,28995.966101694914
2001,Arkansas,15.9,8965.707259953162,32864,2691571,28995.966101694914
2001,California,12.9,35730.0,47064,34479458,28995.966101694914
2001,Colorado,8.7,8965.707259953162,48483,4425687,28995.966101694914
2001,Connecticut,7.1,4016.0,55060,3432835,9069.0
2001,Delaware,8.4,8965.707259953162,47876,795699,28995.966101694914
2001,District of Columbia,17.5,8965.707259953162,41112,574504,28995.966101694914
2001,Florida,12.6,24016.0,37319,16356966,28995.966101694914
2001,Georgia,12.7,8965.707259953162,42006,8377038,28995.966101694914
2001,Hawaii,10.4,8965.707259953162,46535,1225948,28995.966101694914
2001,Idaho,11.5,8965.707259953162,38459,1319962,28995.966101694914
2001,Illinois,10.1,8965.707259953162,46991,12488445,28995.966101694914
2001,Indiana,9.0,8965.707259953162,42073,6127760,28995.966101694914
2001,Iowa,8.2,2596.0,41216,2931997,28995.966101694914
2001,Kansas,9.5,3118.0,42081,2702162,28995.966101694914
2001,Kentucky,14.7,6472.0,35977,4068132,28995.966101694914
2001,Louisiana,18.3,6377.0,32959,4477875,28995.966101694914
2001,Maine,10.2,1137.0,38036,1285692,10544.0
2001,Maryland,7.7,7691.0,53090,5374691,28995.966101694914
2001,Massachusetts,8.2,8287.0,52092,6397634,28995.966101694914
2001,Michigan,9.8,15197.0,45688,9991120,28995.966101694914
2001,Minnesota,7.2,4373.0,49619,4982796,28995.966101694914
2001,Mississippi,19.0,8965.707259953162,30877,2852994,28995.966101694914
2001,Missouri,11.0,7098.0,39652,5641142,28731.0
2001,Montana,14.0,8965.707259953162,33151,906961,28995.966101694914
2001,Nebraska,9.3,8965.707259953162,41091,1719836,28995.966101694914
2001,Nevada,9.3,8965.707259953162,44325,2098399,28995.966101694914
2001,New Hampshire,6.0,853.0,50898,1255517,6265.0
2001,New Jersey,7.8,13722.0,54506,8492671,28995.966101694914
2001,New Mexico,18.0,1688.0,33733,1831690,28995.966101694914
2001,New York,13.7,39660.0,43149,19082838,28995.966101694914
2001,North Carolina,11.9,10379.0,39072,8210122,28995.966101694914
2001,North Dakota,11.4,8965.707259953162,36177,639062,28995.966101694914
2001,Ohio,10.3,8965.707259953162,41780,11387404,28995.966101694914
2001,Oklahoma,14.4,8965.707259953162,34912,3467100,28995.966101694914
2001,Oregon,11.1,2261.0,41752,3467937,28995.966101694914
2001,Pennsylvania,10.0,20772.0,42288,12298970,28995.966101694914
2001,Rhode Island,10.2,8965.707259953162,43884,1057142,28995.966101694914
2001,South Carolina,13.8,6494.0,36953,4064995,20620.0
2001,South Dakota,11.7,8965.707259953162,37096,757972,28995.966101694914
2001,Tennessee,13.2,7301.0,36629,5750789,28995.966101694914
2001,Texas,15.0,8965.707259953162,40152,21319622,28995.966101694914
2001,Utah,9.4,1305.0,45914,2283715,3094.0
2001,Vermont,8.9,423.0,41342,612223,28995.966101694914
2001,Virginia,8.8,8965.707259953162,48130,7198362,28995.966101694914
2001,Washington,9.9,5192.0,46284,5985722,28995.966101694914
2001,West Virginia,16.7,8965.707259953162,31156,1801481,28995.966101694914
2001,Wisconsin,8.1,5474.0,45435,5406835,28995.966101694914
2001,Wyoming,10.5,8965.707259953162,39988,494657,28995.966101694914
2002,Alabama,15.4,8965.707259953162,35943,4480089,28995.966101694914
2002,Alaska,9.3,8965.707259953162,51844,642337,28995.966101694914
2002,Arizona,13.6,8965.707259953162,40724,5396255,28995.966101694914
2002,Arkansas,16.3,8965.707259953162,32819,2705927,28995.966101694914
2002,California,13.3,36627.0,47323,34871843,28995.966101694914
2002,Colorado,9.5,8965.707259953162,48060,4490406,28995.966101694914
2002,Connecticut,7.8,4488.0,54543,3458749,9215.0
2002,Delaware,9.3,8965.707259953162,48096,806169,28995.966101694914
2002,District of Columbia,17.2,8965.707259953162,40617,573158,28995.966101694914
2002,Florida,12.8,25153.0,38226,16689370,28995.966101694914
2002,Georgia,13.0,8965.707259953162,42359,8508256,28995.966101694914
2002,Hawaii,11.0,8965.707259953162,47424,1239613,28995.966101694914
2002,Idaho,11.7,8965.707259953162,38242,1340372,28995.966101694914
2002,Illinois,11.3,8965.707259953162,44946,12525556,28995.966101694914
2002,Indiana,9.6,8965.707259953162,41973,6155967,28995.966101694914
2002,Iowa,9.1,2306.0,41052,2934234,28995.966101694914
2002,Kansas,10.0,3207.0,42104,2713535,28995.966101694914
2002,Kentucky,14.8,6801.0,35875,4089875,28995.966101694914
2002,Louisiana,18.1,6700.0,33536,4497267,28995.966101694914
2002,Maine,11.0,1097.0,37963,1295960,10530.0
2002,Maryland,8.3,7696.0,53866,5440389,28995.966101694914
2002,Massachusetts,9.0,8084.0,51085,6417206,29320.0
2002,Michigan,10.9,14551.0,44315,10015710,28995.966101694914
2002,Minnesota,7.5,4313.0,50157,5018935,28995.966101694914
2002,Mississippi,18.9,8965.707259953162,31434,2858681,28995.966101694914
2002,Missouri,11.3,7472.0,40309,5674825,30422.0
2002,Montana,14.0,8965.707259953162,34105,911667,28995.966101694914
2002,Nebraska,10.0,8965.707259953162,41130,1728292,28995.966101694914
2002,Nevada,10.1,8965.707259953162,44560,2173791,28995.966101694914
2002,New Hampshire,6.3,860.0,51550,1269089,6002.0
2002,New Jersey,8.3,13653.0,54932,8552643,28995.966101694914
2002,New Mexico,17.7,1883.0,34827,1855309,28995.966101694914
2002,New York,13.9,39961.0,42765,19137800,28995.966101694914
2002,North Carolina,12.9,11336.0,38194,8326201,28995.966101694914
2002,North Dakota,11.1,8965.707259953162,36223,638168,28995.966101694914
2002,Ohio,10.2,8965.707259953162,42246,11407889,28995.966101694914
2002,Oklahoma,14.5,8965.707259953162,35313,3489080,28995.966101694914
