Year,State,Poverty,Cases,Annual_income,Demograph,CO,O3,PM2.5
2000,California,12.7,36601,46836,33987977,0.491111111,0.042944751,10.66551724
2000,Connecticut,7.3,3959,52758,3411777,0.74,0.045604167,11.91764706
2000,Florida,11.7,22705,38784,16047515,0.60625,0.050039216,9.85862069
2000,Iowa,8.3,2491,40443,2929067,0.48,0.044520833,8.955555556
2000,Kansas,8.9,2652,41150,2693681,0.55,0.054125,10.84117647
2000,Kentucky,13.9,5897,35150,4049021,0.241666667,0.050536364,14.68214286
2000,Louisiana,17.3,5858,32124,4471885,0.65,0.042598214,12.1
2000,Maryland,7.9,7560,52740,5311034,0.5,0.047680556,15.53333333
2000,Massachusetts,8.4,8039,49266,6361104,0.49375,0.0417,10.89259259
2000,Minnesota,6.9,4604,49170,4933692,0.49,0.0415,9.1
2000,Missouri,10.6,6853,40411,5607285,0.566666667,0.049202381,12.82857143
2000,New Hampshire,5.6,872,49830,1239882,0.425,0.039696429,9.418181818
2000,New Jersey,7.8,12721,52990,8430621,0.796153846,0.046266667,12.70952381
2000,New Mexico,17.3,1533,34487,1821204,0.527272727,0.0491875,6.738888889
2000,New York,13.2,39994,41763,19001780,0.722222222,0.042028571,12.03061224
2000,North Carolina,11.7,10230,38889,8081614,0.5675,0.054971154,14.68461538
2000,Oregon,10.6,2254,41662,3429708,1.091666667,0.035535714,6.348148148
2000,Pennsylvania,9.5,19960,41419,12284173,0.318518519,0.045342593,13.64255319
2000,South Carolina,12.8,5982,37283,4024223,0.266666667,0.056614583,13.975
2000,Tennessee,12.6,7236,35760,5703719,0.56,0.05580303,16.28536585
2000,Utah,8.8,1287,45934,2244502,0.845454545,0.058141892,7.2625
2000,Washington,9.6,5325,44846,5910512,1.015789474,0.036569444,8.816129032
2000,Wisconsin,8.1,5698,44503,5373999,0.244444444,0.04425641,9.789285714
2001,California,12.9,35730,47064,34479458,0.496808511,0.043726316,11.43478261
2001,Connecticut,7.1,4016,55060,3432835,0.82,0.050958333,11.6
2001,Florida,12.6,24016,37319,16356966,0.563636364,0.045848624,9.248484848
2001,Iowa,8.2,2596,41216,2931997,0.51,0.042166667,9.370588235
2001,Kansas,9.5,3118,42081,2702162,0.325,0.053708333,10.80588235
2001,Kentucky,14.7,6472,35977,4068132,0.234615385,0.05,13.73138686
2001,Louisiana,18.3,6377,32959,4477875,0.75,0.040410714,11.22692308
2001,Maine,10.2,1137,38036,1285692,0.4,0.0434375,8.336535806
2001,Maryland,7.7,7691,53090,5374691,0.3,0.053605263,13.74090909
2001,Massachusetts,8.2,8287,52092,6397634,0.466666667,0.04715,10.8
2001,Michigan,9.8,15197,45688,9991120,0.2,0.047535714,11.57428571
2001,Minnesota,7.2,4373,49619,4982796,0.365,0.0400625,8.917857143
2001,Missouri,11,7098,39652,5641142,0.473076923,0.05025,12.11304348
2001,New Hampshire,6,853,50898,1255517,0.3,0.04378125,8.66875
2001,New Jersey,7.8,13722,54506,8492671,0.685714286,0.0505625,12.05416667
2001,New Mexico,18,1688,33733,1831690,0.56875,0.048475,5.988888889
2001,New York,13.7,39660,43149,19082838,0.617647059,0.046742857,12.58
2001,North Carolina,11.9,10379,39072,8210122,0.564705882,0.055316038,12.2959596
2001,Oregon,11.1,2261,41752,3467937,0.9875,0.038464286,6.276666667
2001,Pennsylvania,10,20772,42288,12298970,0.323076923,0.051077273,13.99361702
2001,South Carolina,13.8,6494,36953,4064995,0.366666667,0.053556818,13.06846847
2001,Tennessee,13.2,7301,36629,5750789,0.55,0.053145161,14.46595745
2001,Utah,9.4,1305,45914,2283715,0.768181818,0.057666667,7.223529412
2001,Vermont,8.9,423,41342,612223,0.4,0.047625,8.116666667
2001,Washington,9.9,5192,46284,5985722,0.9275,0.03753125,7.75
2001,Wisconsin,8.1,5474,45435,5406835,0.3375,0.046625,9.637634409
2002,California,13.3,36627,47323,34871843,0.462365591,0.045332011,11.82695652
2002,Connecticut,7.8,4488,54543,3458749,0.716666667,0.050154412,10.40653595
2002,Florida,12.8,25153,38226,16689370,0.545238095,0.04395339,8.48125
2002,Iowa,9.1,2306,41052,2934234,0.49,0.044807692,9.311111111
2002,Kansas,10,3207,42104,2713535,0.36,0.04959375,10.34375
2002,Kentucky,14.8,6801,35875,4089875,0.278571429,0.048331081,13.168
2002,Louisiana,18.1,6700,33536,4497267,0.566666667,0.037901786,9.976923077
2002,Maine,11,1097,37963,1295960,0.35,0.0424,8.336535806
2002,Maryland,8.3,7696,53866,5440389,0.45,0.0531875,12.50903955
2002,Massachusetts,9,8084,51085,6417206,0.45,0.045691176,9.224774775
2002,Michigan,10.9,14551,44315,10015710,0.23125,0.047362069,11.70882353
2002,Minnesota,7.5,4313,50157,5018935,0.285,0.04325,8.832
2002,Missouri,11.3,7472,40309,5674825,0.392857143,0.049083333,11.936
2002,New Hampshire,6.3,860,51550,1269089,0.25,0.043397059,6.746666667
2002,New Jersey,8.3,13653,54932,8552643,0.671428571,0.050103261,10.86960784
2002,New Mexico,17.7,1883,34827,1855309,0.422222222,0.048336207,6.753846154
2002,New York,13.9,39961,42765,19137800,0.510714286,0.045757143,10.75628415
2002,North Carolina,12.9,11336,38194,8326201,0.542307692,0.055447115,11.7377551
2002,Oregon,11.3,2532,41796,3513424,0.920833333,0.039625,6.824603175
2002,Pennsylvania,10,20833,42043,12331031,0.271153846,0.050586022,14.26033058
2002,South Carolina,14,7389,37442,4107795,0.4,0.052684783,11.453125
2002,Tennessee,13.6,7807,37129,5795918,0.61,0.051705357,12.634375
2002,Utah,9.7,1427,46165,2324815,0.745454545,0.057965909,7.755
2002,Vermont,9.3,337,41962,615442,0.7,0.047375,7.220833333
2002,Washington,10.3,5548,46399,6052349,0.865625,0.038611111,7.397222222
2002,Wisconsin,8.5,5248,45377,5445162,0.3625,0.046131579,9.379310345
2003,California,13.7,39352,48440,35253159,0.445283019,0.04468414,10.79658793
2003,Connecticut,8,4839,56409,3484336,0.75,0.0474375,10.445
2003,Florida,13,29250,38985,17004085,0.568181818,0.043233333,8.455882353
2003,Iowa,9.1,2397,42278,2941999,0.49,0.044730769,9.282352941
2003,Kansas,10.4,3344,43113,2723004,0.25,0.050325,10.74375
2003,Kentucky,15,7999,36663,4117170,0.3375,0.047875,13.356
2003,Louisiana,18.1,6596,33792,4521042,0.75,0.039875,10.87037037
2003,Maine,10.7,1314,39212,1306513,0.35,0.042573529,8.336535806
2003,Maryland,8.8,9042,54302,5496269,0.333333333,0.046930556,11.9952381
2003,Massachusetts,9.5,9945,52713,6422565,0.483333333,0.046423077,9.457894737
2003,Michigan,11,16548,46291,10041152,0.2875,0.047633333,11.30909091
2003,Minnesota,8,4657,50750,5053572,0.2375,0.0465,7.974074074
2003,Missouri,11.6,7917,40870,5709403,0.435714286,0.05012037,11.38148148
2003,New Hampshire,6.4,1046,52409,1279840,0.475,0.042986842,7.85
2003,New Jersey,8.9,16259,56356,8601402,0.629166667,0.04684375,11.39565217
2003,New Mexico,17.7,1988,35091,1877574,0.361111111,0.04975,6.88125
2003,New York,14.3,45204,44139,19175939,0.569230769,0.044721429,10.66363636
2003,North Carolina,13.4,12082,39438,8422501,0.554166667,0.050138889,11.69777778
2003,Oregon,12,2471,42593,3547376,0.822727273,0.04046875,6.22
2003,Pennsylvania,10.6,25110,42952,12374658,0.284615385,0.046322727,12.89583333
2003,South Carolina,13.8,7613,38003,4150297,0.3625,0.047920455,11.66615385
2003,Tennessee,13.5,8415,37925,5847812,0.70625,0.050598485,13.07948718
2003,Utah,10,1570,46709,2360137,0.65,0.058554878,7.007407407
2003,Vermont,9.2,440,42649,617858,0.5,0.04575,7.35
2003,Washington,11,4865,48185,6104115,0.860714286,0.042833333,7.307692308
2003,Wisconsin,8.9,6119,46538,5479203,0.4375,0.047794872,9.103030303
2004,California,13.2,34447,49894,35574576,0.380434783,0.04469086,10.46896552
2004,Colorado,10.2,4344,50105,4575013,0.5,0.051306818,7.295454545
2004,Connecticut,9.1,4390,56617,3496094,0.7,0.044875,9.9
2004,Florida,11.9,27771,40900,17415318,0.593181818,0.045934426,8.916312057
2004,Iowa,10.5,2150,42865,2953635,0.5,0.039980769,8.578947368
2004,Kansas,11.1,3054,41664,2734373,0.3,0.046225,9.525
2004,Kentucky,16.3,7202,37046,4146101,0.6,0.045222222,13.89462366
2004,Louisiana,19.2,7687,35216,4552238,0.683333333,0.039223214,9.6
2004,Maine,11.5,1136,41287,1313688,0.3,0.039940476,8.336535806
2004,Maryland,9.2,8357,57019,5546935,0.425,0.049779412,12.81363636
2004,Massachusetts,9.9,8855,53657,6412281,0.29,0.043666667,9.627777778
2004,Michigan,12.5,16370,44409,10055315,0.25,0.04365,9.494285714
2004,Minnesota,8.1,4476,51202,5087713,0.2,0.040133333,6.676
2004,Missouri,13,7665,40885,5747741,0.35,0.045309524,11.068
2004,New Hampshire,6.6,1066,53377,1290121,0.5,0.042517857,7.283333333
2004,New Jersey,8.4,15405,57338,8634561,0.563636364,0.047016667,10.35714286
2004,New Mexico,16.7,1910,37838,1903808,0.220833333,0.045806818,6.273333333
2004,New York,14.5,41325,45343,19171567,0.492857143,0.042243243,10.19310345
2004,North Carolina,13.8,10745,40863,8553152,0.523458333,0.046959184,12.57647059
2004,Oregon,12.9,2151,42568,3569463,0.8,0.03478125,7.226315789
2004,Pennsylvania,11.2,22054,43714,12410722,0.314814815,0.045603774,12.25
2004,South Carolina,15,6575,39454,4210921,0.275,0.048228261,12.26567164
2004,Tennessee,15,8058,38945,5910809,0.508333333,0.048546296,12.34615385
2004,Utah,10.3,1466,47224,2401580,0.63125,0.055234375,8.326666667
2004,Vermont,8.7,362,44548,619920,0.475,0.04425,7.242857143
2004,Washington,11.6,4597,48438,6178645,0.855,0.037722222,7.673684211
2004,Wisconsin,10.9,5378,46142,5514026,0.35,0.041319444,7.757692308
2005,Arizona,14.4,7115,44402,5839077,0.4875,0.050583333,8.011764706
2005,California,13.3,35853,53627,35827943,0.373430233,0.042863764,9.815044248
2005,Colorado,10.9,4357,50841,4631888,0.48,0.0527875,6.804166667
2005,Connecticut,8.3,4608,60840,3506956,0.775,0.0481875,11.05625
2005,Florida,12.8,27754,42437,17842038,0.486363636,0.046800847,8.839534884
2005,Iowa,10.8,2409,43610,2964454,0.280416667,0.045519231,10.23529412
2005,Kansas,11.7,3239,42861,2745299,0.45,0.051925,10.31875
2005,Kentucky,16.9,7710,37377,4182742,0.5,0.050428571,14.17350427
