Year,State,County,PWS Name,PWS Id,Population Served,Annual Mean,Maximum Contaminant Level
2013,Arizona,Apache,ALPINE DWID,AZ0401001,582,0.11,Less than or Equal to MCL
2013,Arizona,Apache,CEDAR GROVE WATER COMPANY,AZ0401049,1012,0.27,Less than or Equal to MCL
2013,Arizona,Apache,EAGAR TOWN OF,AZ0401004,5000,0.57,Less than or Equal to MCL
2013,Arizona,Apache,LIVCO WATER COMPANY,AZ0401018,745,0.36,Less than or Equal to MCL
2013,Arizona,Apache,LORD AZ WATER 2 - WINCHESTER TRAILS,AZ0401047,366,0.05,Not Detected
2013,Arizona,Apache,LORD AZ WATER WILDERNESS,AZ0401373,489,0.05,Not Detected
2013,Arizona,Apache,OJO BONITO ESTATES DWID,AZ0401039,53,0.12,Less than or Equal to MCL
2013,Arizona,Apache,PINECREST WATER COMPANY,AZ0401010,73,0.05,Not Detected
2013,Arizona,Apache,SANDERS SCHOOL DISTRICT,AZ0401022,350,1.7,Less than or Equal to MCL
2013,Arizona,Apache,SHOW LOW CROSSROADS HOA,AZ0401372,33,0.95,Less than or Equal to MCL
2013,Arizona,Apache,SPRINGERVILLE TOWN OF,AZ0401013,1972,0.51,Less than or Equal to MCL
2013,Arizona,Apache,ST JOHNS CITY OF,AZ0401012,3800,0.05,Not Detected
2013,Arizona,Apache,TIMBER KNOLL DWID,AZ0401015,132,0.3,Less than or Equal to MCL
2013,Arizona,Apache,VERNON DWID,AZ0401019,100,0.51,Less than or Equal to MCL
2013,Arizona,Apache,VERNON VALLEY WATER SYSTEM,AZ0401054,44,0.33,Less than or Equal to MCL
2013,Arizona,Cochise,ARIZONA WATER CO - BISBEE,AZ0402001,7992,2.1,Less than or Equal to MCL
2013,Arizona,Cochise,ARIZONA WATER CO - SIERRA VISTA,AZ0402004,9946,0.78,Less than or Equal to MCL
2013,Arizona,Cochise,ASHLEY ROSE MHP,AZ0402105,30,1.5,Less than or Equal to MCL
2013,Arizona,Cochise,BELLA VISTA CITY WATER SYSTEM,AZ0402010,20045,0.85,Less than or Equal to MCL
2013,Arizona,Cochise,BELLA VISTA WATER SOUTH,AZ0402007,2008,0.98,Less than or Equal to MCL
2013,Arizona,Cochise,BENSON CITY OF WATER SYSTEM,AZ0402005,6305,0.78,Less than or Equal to MCL
2013,Arizona,Cochise,BISBEE DOUGLAS INTL AIRPORT,AZ0402061,2300,1.63,Less than or Equal to MCL
2013,Arizona,Cochise,BOWIE WID,AZ0402006,376,0.87,Less than or Equal to MCL
2013,Arizona,Cochise,CITY OF WILLCOX,AZ0402035,3757,1,Less than or Equal to MCL
2013,Arizona,Cochise,CLEAR SPRINGS UTILITY MAIN,AZ0402008,1382,0.45,Less than or Equal to MCL
2013,Arizona,Cochise,CLEAR SPRINGS UTILITY WELL 6,AZ0402049,54,0.63,Less than or Equal to MCL
2013,Arizona,Cochise,CLOUD NINE WATER COMPANY,AZ0402009,211,0.31,Less than or Equal to MCL
2013,Arizona,Cochise,COCHISE COLLEGE PARK WATER ASSOC,AZ0402040,33,3.5,Less than or Equal to MCL
2013,Arizona,Cochise,DESERT WINDS MOBILE PARK,AZ0402353,34,0.36,Less than or Equal to MCL
2013,Arizona,Cochise,DOUGLAS CITY OF,AZ0402014,13300,1.23,Less than or Equal to MCL
2013,Arizona,Cochise,DRAGOON WATER COMPANY,AZ0402015,317,1.1,Less than or Equal to MCL
2013,Arizona,Cochise,EAST SLOPE WATER - WEST,AZ0402094,665,1.83,Less than or Equal to MCL
2013,Arizona,Cochise,EAST SLOPE WATER COMPANY,AZ0402028,1987,0.67,Less than or Equal to MCL
2013,Arizona,Cochise,ELFRIDA WID,AZ0402017,800,2.95,Less than or Equal to MCL
2013,Arizona,Cochise,EMPIRITA WATER COMPANY,AZ0402122,75,1.6,Less than or Equal to MCL
2013,Arizona,Cochise,HOLIDAY WATER COMPANY,AZ0402018,395,0.72,Less than or Equal to MCL
2013,Arizona,Cochise,KOKOPELLI SPRINGS RESORT,AZ0402327,85,0.8,Less than or Equal to MCL
2013,Arizona,Cochise,LA COSTA WATER USERS ASSOC,AZ0402041,30,1.1,Less than or Equal to MCL
2013,Arizona,Cochise,MCNEAL WATER COMPANY,AZ0402016,66,0.44,Less than or Equal to MCL
2013,Arizona,Cochise,MESCAL LAKES WATER SYSTEM,AZ0402052,1479,1.25,Less than or Equal to MCL
2013,Arizona,Cochise,MONTE VISTA WATER COMPANY,AZ0402043,150,1.8,Less than or Equal to MCL
2013,Arizona,Cochise,NACO ESTATES,AZ0402345,75,2.5,Less than or Equal to MCL
2013,Arizona,Cochise,NACO WATER CO BISBEE,AZ0402112,201,6.8,Less than or Equal to MCL
2013,Arizona,Cochise,NACO WATER CO MAIN,AZ0402024,771,1.95,Less than or Equal to MCL
2013,Arizona,Cochise,NORTHERN SUNRISE WC CORONADO,AZ0402013,598,1.1,Less than or Equal to MCL
2013,Arizona,Cochise,NORTHERN SUNRISE WC MUSTANG CRYSTAL,AZ0402054,340,0.72,Less than or Equal to MCL
2013,Arizona,Cochise,NTM AVIATION,AZ0402401,47,0.93,Less than or Equal to MCL
2013,Arizona,Cochise,PALOMINAS WATER SEWER CO,AZ0402026,25,0.35,Less than or Equal to MCL
2013,Arizona,Cochise,POMERENE DWID,AZ0402012,1005,0.45,Less than or Equal to MCL
