Year,State,Data Value
2014,Arizona,6399564
2014,California,41174437
2014,Colorado,5263167
2014,Connecticut,2754692
2014,Delaware,886247
2014,Florida,19359141
2014,Iowa,2753592
2014,Kansas,2704330
2014,Kentucky,4645995
2014,Louisiana,4932485
2014,Maine,669168
2014,Maryland,5288267
2014,Massachusetts,8930205
2014,Michigan,7557005
2014,Minnesota,4332607
2014,Missouri,5351860
2014,Nebraska,1592119
2014,New Hampshire,867238
2014,New Jersey,9053727
2014,New Mexico,1874740
2014,New York,17790348
2014,North Carolina,8332506
2014,Oregon,3907292
2014,Pennsylvania,10598147
2014,Rhode Island,1034882
2014,South Carolina,3672480
2014,Utah,4469749
2014,Vermont,449172
2014,Washington,6001501
2014,West Virginia,1483875
2014,Wisconsin,4063134
