Year,State,Poverty,Annual_income,Demograph,Nitrate,Radium,Population,Cancer Cases
2001,California,12.9,47064,34479458,1.620475146,0.951785714,35989579,4004
2001,Colorado,8.7,48483,4425687,1.164291845,8.624210526,6009037,529
2001,Connecticut,7.1,55060,3432835,1.34,2.193333333,2664364,524
2001,Florida,12.6,37319,16356966,0.570022586,1.722045455,20386201,3090
2001,Iowa,8.2,41216,2931997,1.202142111,1.980992908,2349976,562
2001,Maine,10.2,38036,1285692,0.621732955,1.7075,661201,224
2001,Maryland,7.7,53090,5374691,1.15044335,0.836666667,5157529,482
2001,Minnesota,7.2,49619,4982796,0.668744076,3.530144928,4235189,759
2001,New York,13.7,43149,19082838,1.000679612,1.943125,16460149,2761
2001,Utah,9.4,45914,2283715,0.94847352,0.930882353,2698402,246
2001,Washington,9.9,46284,5985722,1.629216867,1.025,5576823,865
2001,West Virginia,16.7,31156,1801481,1.8525,1.8,714113,284
2001,Wisconsin,8.1,45435,5406835,1.2734663,4.729545455,3991599,884
2003,California,13.7,48440,35253159,1.894100395,0.582941176,42109090,4076
2003,Colorado,10,49248,4528732,0.979954058,3.741595745,6009119,544
2003,Connecticut,8,56409,3484336,1.2601875,1.161860465,2664364,544
2003,Florida,13,38985,17004085,0.644911972,0.662230823,20160032,3053
2003,Iowa,9.1,42278,2941999,1.177993562,1.357947269,2494821,557
2003,Kentucky,15,36663,4117170,1.038648649,0.2,4532689,594
2003,Maine,10.7,39212,1306513,0.641136364,1.206923077,661201,199
2003,Maryland,8.8,54302,5496269,1.099554455,0.327651007,5157529,590
2003,Minnesota,8,50750,5053572,0.634254335,1.547438424,4235189,739
2003,Missouri,11.6,40870,5709403,0.236520979,1.089085714,3108234,793
2003,New Hampshire,6.4,52409,1279840,0.623383459,0.764213836,855301,188
2003,New Jersey,8.9,56356,8601402,1.396409736,3.5848,9016086,1268
2003,New Mexico,17.7,35091,1877574,1.062784091,3.435,1800319,248
2003,New York,14.3,44139,19175939,0.98932967,1.650666667,16463014,2878
2003,Oregon,12,42593,3547376,0.964759207,1.058,3617479,396
2003,Rhode Island,11.3,45006,1071342,1.0253125,1.073846154,859513,151
2003,Utah,10,46709,2360137,0.888194444,1.240357143,2698039,243
2003,Vermont,9.2,42649,617858,0.540434783,0.540739437,443471,92
2003,Washington,11,48185,6104115,1.344204041,1.336666667,5576823,840
2003,West Virginia,16.3,32967,1812295,0.645395189,0.535072464,1268653,278
2003,Wisconsin,8.9,46538,5479203,1.340528926,1.245,3991544,889
2004,California,13.2,49894,35574576,1.790740538,2.89296875,42183613,4151
2004,Colorado,10.2,50105,4575013,0.942237237,2.461020408,6009119,579
2004,Connecticut,9.1,56617,3496094,1.306786427,1.427868852,2664364,462
2004,Delaware,9.6,49545,830803,2.076791444,4.56,902891,100
2004,Florida,11.9,40900,17415318,0.63154027,1.093736264,20169972,3062
2004,Iowa,10.5,42865,2953635,1.189646681,3.035514019,2733140,554
2004,Maine,11.5,41287,1313688,0.637591036,5.046666667,661201,235
2004,Maryland,9.2,57019,5546935,1.164033816,0.956521739,5157529,534
2004,Minnesota,8.1,51202,5087713,0.622096956,3.211111111,4235269,841
2004,Missouri,13,40885,5747741,0.240460469,4.031014493,4050592,840
2004,New Hampshire,6.6,53377,1290121,0.59856102,1.905512821,855301,200
2004,New Jersey,8.4,57338,8634561,1.443203883,1.700714286,9016086,1332
2004,New Mexico,16.7,37838,1903808,1.063586338,0.568352941,1800319,246
2004,New York,14.5,45343,19171567,0.962693467,1.357076271,16463076,2916
2004,Oregon,12.9,42568,3569463,0.959478022,0.303333333,3660041,418
2004,Rhode Island,11.6,47037,1074579,1.052096774,0.738,1013779,185
2004,South Carolina,15,39454,4210921,1.66,4.137142857,3381910,574
2004,Utah,10.3,47224,2401580,0.926908602,0.790588235,2698477,263
2004,Vermont,8.7,44548,619920,0.514359606,1.388684211,443471,114
2004,Washington,11.6,48438,6178645,1.36142304,0.91125,5576823,891
2004,West Virginia,16.2,33993,1816438,0.631840278,1.901428571,1330104,308
2004,Wisconsin,10.9,46142,5514026,1.410768025,3.495,3991529,851
2005,California,13.3,53627,35827943,1.783175712,0.733975904,42277601,4136
2005,Colorado,10.9,50841,4631888,0.99091716,2.983258427,6009074,555
2005,Connecticut,8.3,60840,3506956,1.252003968,0.801568627,2664364,478
2005,Delaware,10.3,52508,845150,2.252864865,2.81,909416,133
2005,Florida,12.8,42437,17842038,0.617990544,0.67704,19878255,3238
2005,Iowa,10.8,43610,2964454,1.229482201,2.743301887,2744749,543
2005,Kentucky,16.9,37377,4182742,0.932137097,1.425,4532689,621
2005,Maine,12.3,42648,1318787,0.618236915,3.463333333,661201,251
2005,Maryland,8.3,61546,5592379,1.23472155,0.977,5157529,544
2005,Minnesota,9.2,52048,5119598,0.628991131,2.193882353,4235269,801
2005,Missouri,13.6,41946,5790300,0.24204028,2.258797468,2563407,857
2005,New Hampshire,7.6,56557,1298492,0.607795993,1.050318471,855301,200
2005,New Jersey,8.7,61694,8651974,1.367173077,2.378831169,9016086,1255
2005,New Mexico,18.4,37603,1932274,1.041647727,0.760246305,1800319,281
2005,New York,13.9,49365,19132610,1.075763766,1.243314286,16463100,2945
2005,Oregon,14.1,43065,3613202,0.968949523,0.837454545,3740859,476
2005,Rhode Island,11.9,50415,1067916,1.1084375,0.784285714,1011622,173
2005,South Carolina,15.6,39477,4270150,0.599526066,1.559583333,3467552,579
2005,Utah,10.5,48155,2457719,0.908746594,0.799655172,2699427,279
2005,Vermont,10.4,45695,621215,0.497859238,1.5552,443471,84
2005,Washington,12,49372,6257305,1.365636882,0.891111111,5576823,917
2005,West Virginia,18,33466,1820492,0.728741722,0.887272727,1350886,322
2005,Wisconsin,10.2,47141,5546166,1.754069767,4.26625,3991660,934
2006,Arizona,14.2,47315,6029141,2.104916667,0.621639344,6385743,734
2006,California,13.1,56646,36021202,1.83388535,0.709047619,39678342,4250
2006,Colorado,11.6,52265,4720423,0.936303725,2.918113208,6009037,573
2006,Connecticut,8.3,63352,3517460,1.215873016,0.828060606,2664364,544
2006,Florida,12.6,45494,18166990,0.627166867,0.741155116,19806925,3178
2006,Iowa,11,44560,2982644,1.189228261,2.538681319,2751614,541
2006,Kentucky,17,39318,4219239,0.936370968,0.45,4532689,565
2006,Maine,12.7,43472,1323619,0.564792244,1.71,661201,271
2006,Maryland,8,65041,5627367,1.103167849,1.060487805,5143306,577
2006,Minnesota,9.7,54022,5163555,0.655038419,3.041067961,4235869,827
2006,Missouri,13.8,42838,5842704,0.221657986,1.963653137,4532744,907
2006,New Hampshire,8,59265,1308389,0.543892989,0.532526882,855301,189
2006,New Jersey,8.7,64549,8661679,1.377142857,1.754786325,9016086,1343
2006,New Mexico,18.3,40610,1962137,0.973202247,0.774896552,1800319,263
2006,New York,14.2,51340,19104631,0.955878635,1.136899225,16463498,2963
2006,Oregon,13.4,46228,3670883,0.973214794,0.904807692,3771485,477
2006,Rhode Island,11.5,51324,1063096,1.034615385,1.086,1011692,174
2006,South Carolina,15.7,41204,4357847,0.599661836,2.382916667,3470882,589
2006,Utah,10.7,51373,2525507,0.962926136,0.544375,2698144,279
2006,Vermont,10.2,47778,622892,0.488385542,2.871578947,443471,97
2006,Washington,11.8,52571,6370753,1.358297568,0.65,5576823,963
2006,West Virginia,17.6,35028,1827912,0.681162791,1.228888889,1343481,319
2006,Wisconsin,10.9,48784,5577655,1.284712182,2.676666667,3991605,987
2007,Arizona,14.1,49923,6167681,2.052176471,0.3334,6390266,674
2007,California,12.4,59928,36250311,1.849433095,0.653617021,39957597,4446
2007,Colorado,11.5,55517,4803868,0.947985401,2.152164948,6009074,610
2007,Connecticut,7.9,65969,3527270,1.336418787,1.070666667,2664364,517
2007,Delaware,10.3,55988,871749,2.060534759,3.145,914351,117
2007,Florida,12.1,47804,18367842,0.589597024,0.756879433,19437665,3122
2007,Iowa,11,47324,2999212,1.226508811,2.336554054,2729866,508
2007,Kentucky,17.2,40299,4256672,0.857983871,0.799375,4532689,612
2007,Maine,12.2,45832,1327040,0.553602151,1.297222222,661201,254
2007,Maryland,8.3,67989,5653408,1.207957746,0.758809524,5157529,695
2007,Minnesota,9.5,55664,5207203,0.6525,1.648481013,4236512,906
2007,Missouri,13.3,45012,5887612,0.236247818,1.649878641,5002567,798
2007,New Hampshire,7.3,62048,1312540,0.502163636,0.474416244,855326,197
2007,New Jersey,8.5,67142,8677885,1.448,2.024324324,9016086,1347
2007,New Mexico,17.9,41509,1990070,1.15833638,0.578199052,1800246,278
2007,New York,13.8,53448,19132335,0.928507463,1.23827907,16463713,3073
2007,Oregon,13,48735,3722417,0.97431912,0.851147541,3767939,500
2007,Rhode Island,11.9,52755,1057315,0.932727273,0.98,1014049,163
2007,South Carolina,15.1,43508,4444110,0.570421546,1.319469027,3595479,596
2007,Utah,9.8,55220,2597746,0.933424658,0.570122699,2698232,282
2007,Vermont,10.1,49698,623481,0.50129902,2.526153846,443471,86
2007,Washington,11.4,55628,6461587,1.297889772,0.441555556,5576823,977
2007,West Virginia,17.1,37057,1834052,0.754576271,1.14173913,1340792,334
2007,Wisconsin,10.8,50567,5610775,1.157575758,1.002163009,3991613,1046
2008,Arizona,14.7,51009,6280362,2.102289855,0.290825243,6390688,692
2008,California,13.3,61017,36604337,1.876785892,0.583958333,40192641,4708
2008,Colorado,11.2,57184,4889730,0.961306818,4.50027027,6009074,651
2008,Connecticut,9.1,68294,3545579,1.323072407,1.091052632,2664364,604
2008,Delaware,10.3,58380,883874,2.05356383,3.274285714,916542,162
2008,Florida,13.3,47802,18527305,0.592980589,0.573039514,19373219,3324
2008,Iowa,11.4,49007,3016734,1.221646409,2.162662722,2680509,517
2008,Kentucky,17.3,41489,4289878,0.898924303,0.796315789,4532689,601
2008,Maine,12.6,46419,1330509,0.556048387,1.737142857,661226,261
2008,Maryland,8.2,70482,5684965,1.282282353,0.624042553,5105475,695
2008,Minnesota,9.6,57318,5247018,0.623399123,1.598225806,4236512,876
2008,Missouri,13.5,46847,5923916,0.236404887,1.836491228,4153659,821
2008,New Hampshire,7.8,63235,1315906,0.498478664,0.441034483,855326,232
2008,New Jersey,8.7,70347,8711090,1.385199203,2.314150943,9016086,1343
2008,New Mexico,17,43719,2010662,1.061389892,1.065641026,1800246,280
2008,New York,13.7,55980,19212436,0.904954072,1.104679487,16465069,3013
2008,Oregon,13.5,50165,3768748,0.9902391,0.836511628,3781419,489
2008,Rhode Island,12.1,54562,1055003,1.056818182,0.894782609,1013621,178
2008,South Carolina,15.7,44695,4528996,0.617045455,1.706237624,3657664,564
2008,Utah,9.7,56820,2663029,0.932746667,0.689276316,2698511,316
2008,Vermont,10.4,52111,624151,0.540266344,0.877115385,443471,93
2008,Washington,11.3,58081,6562231,1.299703808,0.925833333,5576823,973
2008,West Virginia,17.4,37528,1840310,0.761241379,0.755714286,1346806,327
2008,Wisconsin,10.5,52103,5640996,1.434722222,1.465166667,3991540,1033
2009,Arizona,16.5,48711,6343154,2.116971014,0.356826923,6394767,787
2009,California,14.2,58925,36961229,1.903536232,0.736808511,41009912,4759
2009,Colorado,12.6,55735,4972195,0.95510699,3.255566038,6009074,721
2009,Connecticut,9.3,66906,3561807,1.274296724,0.92515625,2664364,619
2009,Delaware,11.2,56985,891730,2.114734043,2.020625,885166,127
2009,Florida,15,44755,18652644,0.623596215,0.613645546,19282955,3257
2009,Iowa,11.8,48065,3032870,1.209802198,1.936953125,2745961,573
2009,Kentucky,18.4,40061,4317074,0.8964,0.987894737,4532689,627
2009,Maine,12.6,45708,1329590,0.508736559,2.458888889,661151,244
2009,Maryland,9.2,69193,5730388,1.24549763,1.512068966,5132561,749
2009,Minnesota,10.9,55621,5281203,0.639786096,1.7551417,4235789,816
2009,Missouri,14.6,45149,5961088,0.236635338,1.792217391,4645562,865
2009,New Hampshire,8.6,60734,1316102,0.467934783,1.003636364,855326,206
2009,New Jersey,9.4,68444,8755602,1.26991684,2.565735294,9016086,1379
2009,New Mexico,18.2,42830,2036802,1.092222222,1.057313433,1800246,284
2009,New York,14.2,54554,19307066,0.869358894,1.391411043,16463230,3221
2009,Oregon,14.3,48325,3808600,1.023504043,0.796095238,3778230,494
2009,Rhode Island,12,53243,1053646,1.080606061,1.565333333,1000583,162
2009,South Carolina,17.1,42580,4589872,0.592359551,2.145940594,3820683,624
2009,Utah,11.7,55183,2723421,0.941964286,0.714115226,2698771,277
