,Year,State,Data Value
0,2001,California,35989579
1,2001,Colorado,6009037
2,2001,Connecticut,2664364
3,2001,Delaware,940010
4,2001,Florida,20386201
5,2001,Iowa,2349976
6,2001,Kansas,2694110
7,2001,Kentucky,4532689
8,2001,Louisiana,4904056
9,2001,Maine,661201
10,2001,Maryland,5157529
11,2001,Massachusetts,8416200
12,2001,Minnesota,4235189
13,2001,Missouri,2861506
14,2001,New Hampshire,855301
15,2001,New Jersey,9016086
16,2001,New Mexico,1800319
17,2001,New York,16460149
18,2001,Pennsylvania,10781363
19,2001,Rhode Island,863743
20,2001,South Carolina,3305781
21,2001,Utah,2698402
22,2001,Vermont,443471
23,2001,Washington,5576823
24,2001,West Virginia,714113
25,2001,Wisconsin,3991599
0,2002,California,36427824
1,2002,Colorado,6009119
2,2002,Connecticut,2664364
3,2002,Delaware,937283
4,2002,Florida,20264025
5,2002,Iowa,2458129
6,2002,Kansas,2694110
7,2002,Kentucky,4532689
8,2002,Louisiana,4903536
9,2002,Maine,661201
10,2002,Maryland,5157529
11,2002,Massachusetts,8416200
12,2002,Minnesota,4235189
13,2002,Missouri,2710180
14,2002,New Hampshire,855301
15,2002,New Jersey,9016086
16,2002,New Mexico,1800319
17,2002,New York,16462983
18,2002,Oregon,3641445
19,2002,Pennsylvania,10781363
20,2002,Rhode Island,965000
21,2002,South Carolina,3342078
22,2002,Utah,2698502
23,2002,Vermont,443471
24,2002,Washington,5576823
25,2002,West Virginia,1215864
26,2002,Wisconsin,3991504
0,2003,California,42109090
1,2003,Colorado,6009119
2,2003,Connecticut,2664364
3,2003,Delaware,935612
4,2003,Florida,20160032
5,2003,Iowa,2494821
6,2003,Kansas,2714014
7,2003,Kentucky,4532689
8,2003,Louisiana,4903486
9,2003,Maine,661201
10,2003,Maryland,5157529
11,2003,Massachusetts,8416200
12,2003,Minnesota,4235189
13,2003,Missouri,3108234
14,2003,New Hampshire,855301
15,2003,New Jersey,9016086
16,2003,New Mexico,1800319
17,2003,New York,16463014
18,2003,Oregon,3617479
19,2003,Pennsylvania,10781411
20,2003,Rhode Island,859513
21,2003,South Carolina,3336995
22,2003,Utah,2698039
23,2003,Vermont,443471
24,2003,Washington,5576823
25,2003,West Virginia,1268653
26,2003,Wisconsin,3991544
0,2004,California,42183613
1,2004,Colorado,6009119
2,2004,Connecticut,2664364
3,2004,Delaware,902891
4,2004,Florida,20169972
5,2004,Iowa,2733140
6,2004,Kansas,2712274
7,2004,Kentucky,4532689
8,2004,Louisiana,4914572
9,2004,Maine,661201
10,2004,Maryland,5157529
11,2004,Massachusetts,8416200
12,2004,Minnesota,4235269
13,2004,Missouri,4050592
14,2004,New Hampshire,855301
15,2004,New Jersey,9016086
16,2004,New Mexico,1800319
17,2004,New York,16463076
18,2004,Oregon,3660041
19,2004,Pennsylvania,10781486
20,2004,Rhode Island,1013779
21,2004,South Carolina,3381910
22,2004,Utah,2698477
23,2004,Vermont,443471
24,2004,Washington,5576823
25,2004,West Virginia,1330104
26,2004,Wisconsin,3991529
0,2005,California,42277601
1,2005,Colorado,6009074
2,2005,Connecticut,2664364
3,2005,Delaware,909416
4,2005,Florida,19878255
5,2005,Iowa,2744749
6,2005,Kansas,2712199
7,2005,Kentucky,4532689
8,2005,Louisiana,4904835
9,2005,Maine,661201
10,2005,Maryland,5157529
11,2005,Massachusetts,8416200
12,2005,Minnesota,4235269
13,2005,Missouri,2563407
14,2005,New Hampshire,855301
15,2005,New Jersey,9016086
16,2005,New Mexico,1800319
17,2005,New York,16463100
18,2005,Oregon,3740859
19,2005,Pennsylvania,10781438
20,2005,Rhode Island,1011622
21,2005,South Carolina,3467552
22,2005,Utah,2699427
23,2005,Vermont,443471
24,2005,Washington,5576823
25,2005,West Virginia,1350886
26,2005,Wisconsin,3991660
0,2006,Arizona,6385743
1,2006,California,39678342
2,2006,Colorado,6009037
3,2006,Connecticut,2664364
4,2006,Delaware,910503
5,2006,Florida,19806925
6,2006,Iowa,2751614
7,2006,Kansas,2711681
8,2006,Kentucky,4532689
9,2006,Louisiana,4907913
10,2006,Maine,661201
11,2006,Maryland,5143306
12,2006,Massachusetts,8416200
13,2006,Minnesota,4235869
14,2006,Missouri,4532744
15,2006,New Hampshire,855301
16,2006,New Jersey,9016086
17,2006,New Mexico,1800319
18,2006,New York,16463498
19,2006,Oregon,3771485
20,2006,Pennsylvania,10781359
21,2006,Rhode Island,1011692
22,2006,South Carolina,3470882
23,2006,Utah,2698144
24,2006,Vermont,443471
25,2006,Washington,5576823
26,2006,West Virginia,1343481
27,2006,Wisconsin,3991605
0,2007,Arizona,6390266
1,2007,California,39957597
2,2007,Colorado,6009074
3,2007,Connecticut,2664364
4,2007,Delaware,914351
5,2007,Florida,19437665
6,2007,Iowa,2729866
7,2007,Kansas,2703485
8,2007,Kentucky,4532689
9,2007,Louisiana,4908337
10,2007,Maine,661201
11,2007,Maryland,5157529
12,2007,Massachusetts,8416200
13,2007,Minnesota,4236512
14,2007,Missouri,5002567
15,2007,New Hampshire,855326
16,2007,New Jersey,9016086
17,2007,New Mexico,1800246
18,2007,New York,16463713
19,2007,Oregon,3767939
20,2007,Pennsylvania,10781384
21,2007,Rhode Island,1014049
22,2007,South Carolina,3595479
23,2007,Utah,2698232
24,2007,Vermont,443471
25,2007,Washington,5576823
26,2007,West Virginia,1340792
27,2007,Wisconsin,3991613
0,2008,Arizona,6390688
1,2008,California,40192641
2,2008,Colorado,6009074
3,2008,Connecticut,2664364
4,2008,Delaware,916542
5,2008,Florida,19373219
6,2008,Iowa,2680509
7,2008,Kansas,2703760
8,2008,Kentucky,4532689
9,2008,Louisiana,4903817
10,2008,Maine,661226
11,2008,Maryland,5105475
12,2008,Massachusetts,8510074
13,2008,Minnesota,4236512
14,2008,Missouri,4153659
15,2008,New Hampshire,855326
16,2008,New Jersey,9016086
17,2008,New Mexico,1800246
18,2008,New York,16465069
19,2008,Oregon,3781419
20,2008,Pennsylvania,10781463
21,2008,Rhode Island,1013621
22,2008,South Carolina,3657664
23,2008,Utah,2698511
24,2008,Vermont,443471
25,2008,Washington,5576823
26,2008,West Virginia,1346806
27,2008,Wisconsin,3991540
0,2009,Arizona,6394767
1,2009,California,41009912
2,2009,Colorado,6009074
3,2009,Connecticut,2664364
4,2009,Delaware,885166
5,2009,Florida,19282955
6,2009,Iowa,2745961
7,2009,Kansas,2703597
8,2009,Kentucky,4532689
9,2009,Louisiana,4907473
10,2009,Maine,661151
11,2009,Maryland,5132561
12,2009,Massachusetts,8510321
13,2009,Minnesota,4235789
14,2009,Missouri,4645562
15,2009,New Hampshire,855326
16,2009,New Jersey,9016086
17,2009,New Mexico,1800246
18,2009,New York,16463230
19,2009,Oregon,3778230
20,2009,Pennsylvania,10781463
21,2009,Rhode Island,1000583
22,2009,South Carolina,3820683
23,2009,Utah,2698771
24,2009,Vermont,443471
25,2009,Washington,5576823
26,2009,West Virginia,1327443
27,2009,Wisconsin,3992073
0,2010,Arizona,6395258
1,2010,California,41032941
2,2010,Colorado,6009118
3,2010,Connecticut,2664364
4,2010,Delaware,917721
5,2010,Florida,19236835
6,2010,Iowa,2698490
7,2010,Kansas,2703999
8,2010,Kentucky,4532689
9,2010,Louisiana,4903924
10,2010,Maine,665484
11,2010,Maryland,5200014
12,2010,Massachusetts,8510788
13,2010,Minnesota,4236512
14,2010,Missouri,4670953
15,2010,New Hampshire,855359
16,2010,New Jersey,9016086
17,2010,New Mexico,1830248
18,2010,New York,18323940
19,2010,North Carolina,7891488
20,2010,Oregon,3792346
21,2010,Pennsylvania,10781463
22,2010,Rhode Island,916083
23,2010,South Carolina,3860152
24,2010,Utah,2698591
25,2010,Vermont,443471
26,2010,Washington,5576823
27,2010,West Virginia,1332530
28,2010,Wisconsin,3992228
0,2011,Arizona,6399145
1,2011,California,41029373
2,2011,Colorado,6009118
3,2011,Connecticut,2664364
4,2011,Delaware,918744
5,2011,Florida,19346681
6,2011,Iowa,2679229
7,2011,Kansas,2704465
8,2011,Kentucky,4532689
9,2011,Louisiana,4940915
10,2011,Maine,690431
11,2011,Maryland,5266738
12,2011,Massachusetts,8866615
13,2011,Minnesota,4274600
14,2011,Missouri,4534938
15,2011,New Hampshire,854254
16,2011,New Jersey,9013555
17,2011,New Mexico,1852763
18,2011,New York,18245848
19,2011,North Carolina,8058123
20,2011,Oregon,3815333
21,2011,Pennsylvania,10793463
22,2011,Rhode Island,1024077
23,2011,South Carolina,3795998
24,2011,Utah,2698958
25,2011,Vermont,443471
26,2011,Washington,5576823
27,2011,West Virginia,1322756
28,2011,Wisconsin,4024008
0,2012,Arizona,6399534
1,2012,California,41012626
2,2012,Colorado,5220316
3,2012,Connecticut,2673185
4,2012,Delaware,887669
5,2012,Florida,19326390
6,2012,Iowa,2721205
7,2012,Kansas,2704465
8,2012,Kentucky,4552037
9,2012,Louisiana,3856810
10,2012,Maine,663618
11,2012,Maryland,5271294
12,2012,Massachusetts,8879989
13,2012,Michigan,7557005
14,2012,Minnesota,4269859
15,2012,Missouri,5048460
16,2012,Nebraska,1592302
17,2012,New Hampshire,858671
18,2012,New Jersey,9013555
19,2012,New Mexico,1834886
20,2012,New York,18210792
21,2012,North Carolina,8135150
22,2012,Oregon,3969674
23,2012,Pennsylvania,10651615
24,2012,Rhode Island,1024136
25,2012,South Carolina,3708533
26,2012,Utah,2739668
27,2012,Vermont,446168
28,2012,Washington,5912722
29,2012,West Virginia,1350452
30,2012,Wisconsin,4050454
0,2013,Arizona,6399564
1,2013,California,41174594
2,2013,Colorado,5261460
3,2013,Connecticut,2685610
4,2013,Delaware,887902
5,2013,Florida,19306431
6,2013,Iowa,2751937
7,2013,Kansas,2704490
8,2013,Kentucky,4585271
9,2013,Louisiana,4907885
10,2013,Maine,663756
11,2013,Maryland,5274390
12,2013,Massachusetts,8920510
13,2013,Michigan,7557005
14,2013,Minnesota,4323800
