Year,State,Radium
2000,California,0.949130435
2000,Colorado,13.25307692
2000,Florida,1.325795918
2000,Iowa,2.499537037
2000,Maine,0.89
2000,Maryland,2.183571429
2000,Minnesota,2.688205128
2000,New Hampshire,10.6
2000,New York,0.933333333
2000,Utah,0.708928571
2000,Wisconsin,4.437352941
2001,California,0.951785714
2001,Colorado,8.624210526
2001,Connecticut,2.193333333
2001,Florida,1.722045455
2001,Iowa,1.980992908
2001,Maine,1.7075
2001,Maryland,0.836666667
2001,Minnesota,3.530144928
2001,New York,1.943125
2001,Utah,0.930882353
2001,Washington,1.025
2001,West Virginia,1.8
2001,Wisconsin,4.729545455
2002,California,1.052258065
2002,Colorado,5.571463415
2002,Connecticut,1.180175439
2002,Florida,1.158931298
2002,Iowa,1.787963636
2002,Kansas,1.251006711
2002,Kentucky,1.25
2002,Maine,1.046666667
2002,Maryland,0.314511278
2002,Minnesota,1.204535147
2002,Missouri,0.894892308
2002,New Hampshire,7.85
2002,New Jersey,2.544666667
2002,New Mexico,5.688
2002,New York,2.59125
2002,Oregon,1.096870229
2002,Rhode Island,1.077826087
2002,Utah,0.8108
2002,Vermont,0.911071429
2002,West Virginia,1.02195122
2002,Wisconsin,4.023333333
2003,California,0.582941176
2003,Colorado,3.741595745
2003,Connecticut,1.161860465
2003,Florida,0.662230823
2003,Iowa,1.357947269
2003,Kansas,0.975789474
2003,Kentucky,0.2
2003,Maine,1.206923077
2003,Maryland,0.327651007
2003,Minnesota,1.547438424
2003,Missouri,1.089085714
2003,New Hampshire,0.764213836
2003,New Jersey,3.5848
2003,New Mexico,3.435
2003,New York,1.650666667
2003,Oregon,1.058
2003,Rhode Island,1.073846154
2003,Utah,1.240357143
2003,Vermont,0.540739437
2003,Washington,1.336666667
2003,West Virginia,0.535072464
2003,Wisconsin,1.245
2004,California,2.89296875
2004,Colorado,2.461020408
2004,Connecticut,1.427868852
2004,Delaware,4.56
2004,Florida,1.093736264
2004,Iowa,3.035514019
2004,Kansas,1.113362069
2004,Maine,5.046666667
2004,Maryland,0.956521739
2004,Minnesota,3.211111111
2004,Missouri,4.031014493
2004,New Hampshire,1.905512821
2004,New Jersey,1.700714286
2004,New Mexico,0.568352941
2004,New York,1.357076271
2004,Oregon,0.303333333
2004,Rhode Island,0.738
2004,South Carolina,4.137142857
2004,Utah,0.790588235
2004,Vermont,1.388684211
2004,Washington,0.91125
2004,West Virginia,1.901428571
2004,Wisconsin,3.495
2005,California,0.733975904
2005,Colorado,2.983258427
2005,Connecticut,0.801568627
2005,Delaware,2.81
2005,Florida,0.67704
2005,Iowa,2.743301887
2005,Kansas,1.236144578
2005,Kentucky,1.425
2005,Maine,3.463333333
2005,Maryland,0.977
2005,Minnesota,2.193882353
2005,Missouri,2.258797468
2005,New Hampshire,1.050318471
2005,New Jersey,2.378831169
2005,New Mexico,0.760246305
2005,New York,1.243314286
2005,Oregon,0.837454545
2005,Rhode Island,0.784285714
2005,South Carolina,1.559583333
2005,Utah,0.799655172
2005,Vermont,1.5552
2005,Washington,0.891111111
2005,West Virginia,0.887272727
2005,Wisconsin,4.26625
2006,Arizona,0.621639344
2006,California,0.709047619
2006,Colorado,2.918113208
2006,Connecticut,0.828060606
2006,Florida,0.741155116
2006,Iowa,2.538681319
2006,Kansas,1.289009009
2006,Kentucky,0.45
2006,Maine,1.71
2006,Maryland,1.060487805
2006,Minnesota,3.041067961
2006,Missouri,1.963653137
2006,New Hampshire,0.532526882
2006,New Jersey,1.754786325
2006,New Mexico,0.774896552
2006,New York,1.136899225
2006,Oregon,0.904807692
2006,Rhode Island,1.086
2006,South Carolina,2.382916667
2006,Utah,0.544375
2006,Vermont,2.871578947
2006,Washington,0.65
2006,West Virginia,1.228888889
2006,Wisconsin,2.676666667
2007,Arizona,0.3334
2007,California,0.653617021
2007,Colorado,2.152164948
2007,Connecticut,1.070666667
2007,Delaware,3.145
2007,Florida,0.756879433
2007,Iowa,2.336554054
2007,Kansas,1.290210526
2007,Kentucky,0.799375
2007,Maine,1.297222222
2007,Maryland,0.758809524
2007,Minnesota,1.648481013
2007,Missouri,1.649878641
2007,New Hampshire,0.474416244
2007,New Jersey,2.024324324
2007,New Mexico,0.578199052
2007,New York,1.23827907
2007,Oregon,0.851147541
2007,Rhode Island,0.98
2007,South Carolina,1.319469027
2007,Utah,0.570122699
2007,Vermont,2.526153846
2007,Washington,0.441555556
2007,West Virginia,1.14173913
2007,Wisconsin,1.002163009
2008,Arizona,0.290825243
2008,California,0.583958333
2008,Colorado,4.50027027
2008,Connecticut,1.091052632
2008,Delaware,3.274285714
2008,Florida,0.573039514
2008,Iowa,2.162662722
2008,Kansas,1.159589041
2008,Kentucky,0.796315789
2008,Maine,1.737142857
2008,Maryland,0.624042553
2008,Minnesota,1.598225806
2008,Missouri,1.836491228
2008,New Hampshire,0.441034483
2008,New Jersey,2.314150943
2008,New Mexico,1.065641026
2008,New York,1.104679487
2008,Oregon,0.836511628
2008,Rhode Island,0.894782609
2008,South Carolina,1.706237624
2008,Utah,0.689276316
2008,Vermont,0.877115385
2008,Washington,0.925833333
2008,West Virginia,0.755714286
2008,Wisconsin,1.465166667
2009,Arizona,0.356826923
2009,California,0.736808511
2009,Colorado,3.255566038
2009,Connecticut,0.92515625
2009,Delaware,2.020625
2009,Florida,0.613645546
2009,Iowa,1.936953125
2009,Kansas,1.111879195
2009,Kentucky,0.987894737
2009,Maine,2.458888889
2009,Maryland,1.512068966
2009,Minnesota,1.7551417
2009,Missouri,1.792217391
2009,New Hampshire,1.003636364
2009,New Jersey,2.565735294
2009,New Mexico,1.057313433
2009,New York,1.391411043
2009,Oregon,0.796095238
2009,Rhode Island,1.565333333
2009,South Carolina,2.145940594
2009,Utah,0.714115226
2009,Vermont,1.466538462
2009,Washington,1.604736842
2009,West Virginia,0.569090909
2009,Wisconsin,1.752344961
2010,Arizona,0.406767677
2010,California,0.7465
2010,Colorado,3.536142857
2010,Connecticut,0.704056848
2010,Delaware,1.166625
2010,Florida,0.9836
2010,Iowa,2.226148148
2010,Kansas,1.299571429
2010,Kentucky,0.811176471
2010,Maine,1.47875
2010,Maryland,1.556571429
2010,Minnesota,1.755399061
2010,Missouri,1.781897436
2010,New Hampshire,1.284222222
2010,New Jersey,2.821690141
2010,New Mexico,0.860309278
2010,New York,1.54
2010,North Carolina,1.317117347
2010,Oregon,0.753367347
2010,Rhode Island,1.529473684
2010,South Carolina,1.91122807
2010,Utah,0.606570048
2010,Vermont,1.304761905
2010,Washington,2.332807018
2010,West Virginia,1.024117647
2010,Wisconsin,2.148055556
2011,Arizona,0.568211382
2011,California,0.835454545
2011,Colorado,1.703451777
2011,Connecticut,0.797297297
2011,Delaware,1.514864865
2011,Florida,0.675685279
2011,Iowa,1.756896552
2011,Kansas,1.042091503
2011,Kentucky,0.976818182
2011,Maine,2.3
2011,Maryland,0.795588235
2011,Minnesota,1.588274336
2011,Missouri,1.40828125
2011,New Hampshire,1.185810811
2011,New Jersey,1.685766423
2011,New Mexico,0.544032258
2011,New York,1.562222222
2011,North Carolina,1.414738956
2011,Oregon,0.916442953
2011,Rhode Island,2.8275
2011,South Carolina,1.848842975
2011,Utah,0.732980132
2011,Vermont,1.387582418
2011,Washington,1.266451613
2011,West Virginia,0.5344
2011,Wisconsin,2.535555556
2012,Arizona,0.598952381
2012,California,1.152857143
2012,Colorado,1.61295082
2012,Connecticut,0.819866667
2012,Delaware,1.463157895
2012,Florida,0.968300283
2012,Iowa,1.479617347
2012,Kansas,1.021875
2012,Kentucky,0.866666667
2012,Maine,1.365
2012,Maryland,0.727179487
2012,Minnesota,1.863782609
2012,Missouri,1.594030612
2012,Nebraska,1.13187935
2012,New Hampshire,1.446153846
2012,New Jersey,1.787217125
2012,New Mexico,0.623333333
2012,New York,1.722777778
2012,North Carolina,1.156578073
2012,Oregon,1.02768
2012,Rhode Island,1.42875
2012,South Carolina,1.96480315
2012,Utah,0.968785714
2012,Vermont,1.530447761
2012,Washington,1.283611111
2012,West Virginia,1.234
2012,Wisconsin,1.772727273
2013,Arizona,0.678561644
2013,California,1.482857143
2013,Colorado,2.543939394
2013,Connecticut,0.855085575
2013,Delaware,0.6934
2013,Florida,1.182022472
2013,Iowa,2.388
2013,Kansas,1.077175573
2013,Kentucky,1.879375
2013,Maine,0.9375
2013,Maryland,1.932058824
2013,Minnesota,1.705632653
2013,Missouri,1.658058824
2013,Nebraska,1.58862069
2013,New Hampshire,1.424642857
2013,New Jersey,2.139583333
2013,New Mexico,0.37875
2013,New York,0.97656051
2013,North Carolina,1.021914648
2013,Oregon,0.96496124
2013,Rhode Island,1.62375
2013,South Carolina,2.409464286
2013,Utah,0.772981651
2013,Vermont,1.153103448
2013,Washington,0.807272727
2013,West Virginia,0.52421875
2013,Wisconsin,2.096666667
2014,Arizona,0.661265823
2014,California,2.653333333
2014,Colorado,2.444214876
2014,Connecticut,0.905362319
2014,Delaware,1.6975
2014,Florida,0.790322581
2014,Iowa,2.272580645
2014,Kansas,1.174683544
2014,Kentucky,2.006455696
2014,Maine,0.935
2014,Maryland,1.53755102
2014,Minnesota,1.721707317
2014,Missouri,1.575384615
2014,Nebraska,0.977065217
2014,New Hampshire,1.025435897
2014,New Jersey,1.661632653
2014,New Mexico,0.613454545
2014,New York,0.9872
2014,North Carolina,1.41675
2014,Oregon,1.165
2014,Rhode Island,0.81952381
2014,South Carolina,2.174038462
2014,Utah,0.734146341
2014,Vermont,1.235223881
2014,Washington,0.141111111
2014,West Virginia,0.465
2014,Wisconsin,1.106666667
Year,State,
